flyID,in:WWRSouth,in:SillHT,in:WindowHT,in:BalconyDepth,in:Split,out:Effectivedepth,out:ZoneMeetsDF1,out:AreameetingTargetlvl,out:DFdata,out:SVdata
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0_Split0,0.1,0.15,0.8,0,0,0,False,0,0.1;0.1;0.11;0.11;0.11;0.12;0.12;0.52;0.1;0.12;0.22;0.31;0.38;0.46;0.52;0.52;0.1;0.11;0.21;0.3;0.39;0.46;0.54;0.52;0.11;0.11;0.19;0.3;0.39;0.48;0.54;0.52;0.11;0.11;0.13;0.28;0.41;0.54;0.54;0.52;0.11;0.11;0.11;0.21;0.49;0.55;0.54;0.52;0.11;0.11;0.12;0.12;0.57;0.55;0.54;0.52;0.08;0.08;0.08;0.09;0.09;0.09;0.09;0.11;0.08;0.08;0.09;0.09;0.1;0.1;0.11;0.11;0.08;0.08;0.09;0.09;0.1;0.1;0.11;0.11;0.08;0.08;0.08;0.09;0.09;0.1;0.1;0.1;0.07;0.07;0.08;0.09;0.09;0.1;0.1;0.1;0.07;0.07;0.07;0.08;0.09;0.1;0.1;0.1;0.07;0.07;0.07;0.07;0.1;0.09;0.09;0.09;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.05;0.04;0.04;0.04;0.04;0.04;0.05;0.05;0.05;0.1;0.29;0.2;0.1;0.13;0.34;0.53;0.52;0.46;0.4;0.04;0.04;0.04;0.04;0.04;0.05;0.04;0.05;0.05;0.04;,31.01;31.01;31.01;31.01;31.69;31.01;31.01;31.69;31.69;33.02;31.01;31.69;32.37;33.02;33.78;31.69;33.02;33.02;33.78;33.78;33.02;33.78;33.78;33.78;34.42;33.78;33.78;33.78;34.42;34.42;33.78;33.78;34.42;34.42;35.07;33.78;34.42;34.42;35.07;35.72;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0_Split1,0.1,0.15,0.8,0,1,0,False,0,0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;,31.01;31.01;31.01;31.01;31.69;31.01;31.01;31.69;31.69;33.02;31.01;31.69;32.37;33.02;33.78;31.69;33.02;33.02;33.78;33.78;33.02;33.78;33.78;33.78;34.42;33.78;33.78;33.78;34.42;34.42;33.78;33.78;34.42;34.42;35.07;33.78;34.42;34.42;35.07;35.72;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0.15_Split0,0.1,0.15,0.8,0.15,0,0,False,0,0.14;0.15;0.15;0.15;0.16;0.16;0.17;0.57;0.14;0.17;0.26;0.35;0.43;0.51;0.57;0.57;0.15;0.15;0.26;0.35;0.44;0.51;0.58;0.57;0.15;0.15;0.24;0.35;0.44;0.53;0.58;0.56;0.15;0.15;0.17;0.33;0.46;0.59;0.58;0.56;0.15;0.16;0.16;0.25;0.53;0.6;0.58;0.56;0.15;0.16;0.16;0.17;0.61;0.6;0.58;0.56;0.09;0.09;0.09;0.1;0.1;0.1;0.1;0.13;0.09;0.09;0.1;0.11;0.12;0.12;0.13;0.13;0.09;0.09;0.1;0.11;0.12;0.12;0.13;0.12;0.08;0.09;0.1;0.11;0.11;0.12;0.12;0.12;0.08;0.08;0.09;0.1;0.11;0.12;0.12;0.12;0.08;0.08;0.09;0.09;0.12;0.12;0.12;0.11;0.08;0.08;0.08;0.09;0.12;0.12;0.11;0.11;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.14;0.34;0.25;0.14;0.17;0.39;0.58;0.57;0.52;0.45;0.02;0.03;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;,31.01;31.01;31.01;31.01;31.69;31.01;31.01;31.69;31.69;33.02;31.01;31.69;32.37;33.02;33.78;31.69;33.02;33.02;33.78;33.78;33.02;33.78;33.78;33.78;34.42;33.78;33.78;33.78;34.42;34.42;33.78;33.78;34.42;34.42;35.07;33.78;34.42;34.42;35.07;35.72;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0.15_Split1,0.1,0.15,0.8,0.15,1,0,False,0,0.1;0.11;0.11;0.11;0.12;0.12;0.12;0.1;0.11;0.11;0.11;0.11;0.11;0.11;0.1;0.1;0.11;0.11;0.11;0.12;0.11;0.11;0.1;0.1;0.11;0.11;0.12;0.12;0.11;0.11;0.1;0.1;0.11;0.11;0.12;0.12;0.12;0.11;0.11;0.1;0.11;0.11;0.12;0.12;0.11;0.11;0.11;0.1;0.11;0.12;0.12;0.12;0.11;0.11;0.11;0.1;0.09;0.1;0.1;0.1;0.1;0.11;0.11;0.09;0.09;0.1;0.1;0.1;0.1;0.09;0.09;0.08;0.09;0.09;0.1;0.1;0.09;0.09;0.09;0.08;0.09;0.09;0.09;0.09;0.09;0.09;0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.09;0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.08;0.08;0.08;0.08;0.09;0.09;0.09;0.08;0.08;0.08;0.08;0.04;0.04;0.04;0.04;0.05;0.05;0.05;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.1;0.11;0.11;0.1;0.11;0.11;0.1;0.1;0.11;0.11;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;,31.01;31.01;31.01;31.01;31.69;31.01;31.01;31.69;31.69;33.02;31.01;31.69;32.37;33.02;33.78;31.69;33.02;33.02;33.78;33.78;33.02;33.78;33.78;33.78;34.42;33.78;33.78;33.78;34.42;34.42;33.78;33.78;34.42;34.42;35.07;33.78;34.42;34.42;35.07;35.72;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0.75_Split0,0.1,0.15,0.8,0.75,0,0,False,0,0.16;0.16;0.17;0.17;0.18;0.18;0.19;0.58;0.16;0.18;0.28;0.36;0.44;0.51;0.58;0.57;0.16;0.16;0.27;0.36;0.44;0.51;0.58;0.57;0.16;0.17;0.25;0.35;0.44;0.53;0.58;0.56;0.16;0.17;0.18;0.33;0.46;0.58;0.57;0.55;0.16;0.17;0.17;0.26;0.52;0.58;0.57;0.55;0.16;0.17;0.17;0.18;0.6;0.58;0.56;0.54;0.13;0.14;0.14;0.14;0.15;0.15;0.15;0.18;0.13;0.14;0.15;0.16;0.17;0.18;0.18;0.18;0.13;0.13;0.15;0.16;0.17;0.17;0.18;0.17;0.13;0.13;0.14;0.16;0.17;0.17;0.17;0.17;0.12;0.13;0.13;0.15;0.17;0.18;0.17;0.17;0.12;0.12;0.13;0.14;0.17;0.17;0.17;0.16;0.12;0.12;0.12;0.13;0.17;0.17;0.17;0.16;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.07;0.05;0.05;0.05;0.06;0.06;0.06;0.07;0.07;0.16;0.35;0.27;0.16;0.19;0.41;0.59;0.58;0.53;0.46;0.05;0.05;0.05;0.06;0.06;0.07;0.06;0.06;0.06;0.06;,31.01;28.89;28.25;24.79;18.54;30.46;26.93;27.58;20.71;6.12;29.03;26.22;25.51;21.22;7.44;29.71;26.89;26.2;24.16;15.07;30.36;29.01;27.68;25.6;17.9;31.11;29.66;28.95;22.74;6.81;31.11;29.64;28.21;23.39;8.8;31.66;30.87;30.19;28.15;23.34;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0.75_Split1,0.1,0.15,0.8,0.75,1,0,False,0,0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.08;0.08;0.08;0.09;0.09;0.09;0.08;0.08;0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.08;0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.09;0.08;0.08;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.08;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.09;0.06;0.06;0.06;0.06;0.07;0.07;0.07;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.05;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.05;0.05;0.06;0.06;0.06;0.06;0.06;0.06;0.05;0.05;0.05;0.06;0.06;0.06;0.05;0.05;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.03;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.07;0.08;0.08;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.04;,31.01;28.89;28.25;24.79;18.54;30.46;26.93;27.58;20.71;6.12;29.03;26.22;25.51;21.22;7.44;29.71;26.89;26.2;24.16;15.07;30.36;29.01;27.68;25.6;17.9;31.11;29.66;28.95;22.74;6.81;31.11;29.64;28.21;23.39;8.8;31.66;30.87;30.19;28.15;23.34;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0.45_Split0,0.1,0.15,0.8,0.45,0,0,False,0,0.14;0.15;0.15;0.16;0.16;0.17;0.17;0.58;0.14;0.17;0.27;0.36;0.44;0.51;0.58;0.58;0.14;0.15;0.26;0.36;0.44;0.52;0.6;0.58;0.14;0.15;0.24;0.35;0.45;0.55;0.6;0.58;0.14;0.15;0.16;0.33;0.47;0.61;0.6;0.59;0.14;0.15;0.15;0.25;0.55;0.62;0.61;0.59;0.14;0.15;0.15;0.15;0.65;0.63;0.61;0.59;0.09;0.09;0.1;0.1;0.1;0.1;0.1;0.11;0.09;0.09;0.1;0.1;0.11;0.11;0.11;0.11;0.09;0.09;0.1;0.1;0.11;0.11;0.11;0.11;0.09;0.09;0.09;0.1;0.1;0.11;0.11;0.11;0.08;0.08;0.09;0.1;0.1;0.11;0.11;0.1;0.08;0.08;0.08;0.09;0.1;0.11;0.1;0.1;0.08;0.08;0.08;0.08;0.11;0.1;0.1;0.1;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.15;0.34;0.25;0.14;0.18;0.4;0.58;0.57;0.52;0.45;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.04;0.03;,31.01;31.01;31.01;28.25;24.11;30.46;29.74;30.42;25.51;15.14;29.03;29.71;29.71;26.13;15.9;29.71;30.36;30.36;27.67;21.35;30.36;31.84;31.84;29.1;24.18;31.11;31.82;32.5;26.88;15.9;31.11;31.79;31.76;27.53;16.56;31.66;32.31;32.31;30.84;26.14;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth0.45_Split1,0.1,0.15,0.8,0.45,1,0,False,0,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.0;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.0;0.01;0.01;0.01;0.01;0.01;0.02;0.0;0.0;0.0;0.01;0.01;0.01;0.02;0.02;0.0;0.0;0.0;0.01;0.01;0.02;0.02;0.02;0.0;0.0;0.0;0.0;0.02;0.02;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.0;0.01;0.01;0.0;0.0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;,31.01;31.01;31.01;28.25;24.11;30.46;29.74;30.42;25.51;15.14;29.03;29.71;29.71;26.13;15.9;29.71;30.36;30.36;27.67;21.35;30.36;31.84;31.84;29.1;24.18;31.11;31.82;32.5;26.88;15.9;31.11;31.79;31.76;27.53;16.56;31.66;32.31;32.31;30.84;26.14;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth1.05_Split0,0.1,0.15,0.8,1.05,0,9,False,44.4,1.44;1.48;1.53;1.57;1.62;1.66;1.71;1.85;1.44;1.51;1.67;1.78;1.86;1.9;1.9;1.85;1.45;1.5;1.67;1.79;1.87;1.9;1.9;1.84;1.46;1.51;1.65;1.79;1.87;1.92;1.9;1.84;1.47;1.52;1.58;1.77;1.89;1.95;1.9;1.84;1.48;1.52;1.57;1.7;1.95;1.96;1.9;1.84;1.49;1.53;1.58;1.62;2.02;1.96;1.9;1.84;0.81;0.83;0.84;0.85;0.86;0.87;0.88;0.89;0.79;0.81;0.84;0.86;0.88;0.88;0.88;0.87;0.77;0.78;0.82;0.84;0.85;0.86;0.85;0.84;0.75;0.76;0.79;0.82;0.83;0.84;0.83;0.82;0.73;0.74;0.76;0.79;0.81;0.82;0.81;0.8;0.71;0.72;0.73;0.76;0.8;0.8;0.78;0.77;0.69;0.7;0.71;0.72;0.78;0.77;0.76;0.75;0.46;0.47;0.48;0.49;0.5;0.5;0.51;0.41;0.45;0.46;0.46;0.46;0.45;0.43;0.41;0.4;1.45;1.76;1.64;1.42;1.52;1.82;1.9;1.85;1.9;1.87;0.44;0.45;0.45;0.45;0.44;0.4;0.42;0.39;0.39;0.44;,28.25;27.43;24.79;22.02;17.21;27.66;25.47;24.02;16.58;4.79;25.54;25.51;21.3;16.44;6.12;26.2;26.2;22.02;20.75;14.4;26.85;27.62;24.25;22.18;16.57;28.27;28.27;26.15;19.36;5.48;28.27;28.93;25.4;20.01;8.13;29.54;30.19;28.8;26.14;23.34;
WWRSouth0.1_SillHT0.15_WindowHT0.8_BalconyDepth1.05_Split1,0.1,0.15,0.8,1.05,1,0,False,0,0.1;0.1;0.11;0.11;0.11;0.12;0.12;0.08;0.1;0.11;0.11;0.1;0.1;0.09;0.09;0.08;0.1;0.11;0.11;0.1;0.1;0.09;0.08;0.08;0.1;0.11;0.11;0.1;0.1;0.09;0.08;0.08;0.11;0.11;0.11;0.1;0.1;0.08;0.08;0.08;0.11;0.11;0.11;0.11;0.09;0.08;0.08;0.08;0.11;0.11;0.11;0.12;0.08;0.08;0.08;0.08;0.07;0.07;0.07;0.07;0.08;0.08;0.08;0.06;0.07;0.07;0.07;0.07;0.07;0.06;0.06;0.05;0.07;0.07;0.07;0.07;0.06;0.06;0.05;0.05;0.06;0.07;0.07;0.07;0.06;0.06;0.05;0.05;0.06;0.07;0.07;0.06;0.06;0.05;0.05;0.05;0.06;0.06;0.07;0.07;0.06;0.05;0.05;0.05;0.06;0.06;0.07;0.07;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.1;0.1;0.1;0.1;0.1;0.1;0.09;0.09;0.1;0.1;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.03;,28.25;27.43;24.79;22.02;17.21;27.66;25.47;24.02;16.58;4.79;25.54;25.51;21.3;16.44;6.12;26.2;26.2;22.02;20.75;14.4;26.85;27.62;24.25;22.18;16.57;28.27;28.27;26.15;19.36;5.48;28.27;28.93;25.4;20.01;8.13;29.54;30.19;28.8;26.14;23.34;
